sub_str,num1,num2
UWVHWSFUBKASDEYXYLTL,4,22
ZJBPRVQMFIDHYOFQOUHA,4,17
OUQVPPXIUQIBQCHVAQHN,7,28
AGENOPJPECPDYMBPXDSR,7,12
DUUWLHGCYSYLAAKDYEOQ,2,94
ZJXUBSFKFLVYJXIAFCTB,1,50
ZEFNJTSRUIYUPNRVMJIX,10,39
QFXGXUEQEAJZBMTJEHZQ,7,86
OUBFHDMWEKHBKKXOFNZB,9,81
UHJGZKZOOGURXGILXJMT,7,61
NPPZYCVMQZZHNMXECUVA,7,78
YHBMVPLSDKDVORXAVSHQ,9,51
IUXYUKUJXETRKFJPAUSN,9,10
ACXEHDQJIEKXIQZOSDVP,5,26
NAPAWFRBNILPCSVHNJET,6,17
QLUZEFXOCPWPRJGDCLLB,3,35
BIRJHAZAIDFSXOQRFKQM,9,94
JDRFFMDJGANDHOCAZXZM,7,49
IINXBSMOBWWPWSJJBAJE,9,58
DQMLGJAIUKXCMLISTNMS,2,38
IQKJRNHENZMMSPAOFCKX,6,24
AYLNCLZRNAWFBFJRZIVE,9,16
JUAVTMCQGWQXDOHFVHDG,4,62
FFWODWZLNESTXFHDKKGR,5,72
AKFVZQUMCRFDUVYJCPQO,6,29
VHHHJLPGBIDHIJDSXLEJ,8,27
PNKCFBGDXTQFSAOEGVRO,10,30
TNJKCSFHOGNRVPANXGLZ,7,64
HSYSUFTEOABORRLDOFYC,8,98
LWBSVIUPURGHBLCNIGUC,1,90
EWBCKPSXEGCPZJCYXXBG,10,76
DUXTHFJVOHJZUNZMTIUZ,9,19
MSPOBHCDHIRUXVPYOYPO,10,26
TKXIHTTGJKYCORNODSTP,7,48
CGITLQUYVSOXKNBYWHJF,4,35
QGHGAAYKCWJVMBVAUANM,8,56
KZQYPRJLHCHYKUAXKGNQ,2,66
VFJBYGVQKRUSQVCKMPSI,8,71
ZIKJHHYYTOCQSLDVZDSV,2,60
TPXTAUGEJEUONGIJVNIV,7,42
TIPGBNCOWIHJFJODRIPJ,1,49
ASPCYTIBPLELAEUPOODB,5,25
SMULDBXWRAYYADUSOYGE,8,60
NVHWAEIKJOQFCMHUDRYO,5,79
IFKRWMOFDUDIDCGBIHFT,2,43
GWWHQPZWYBTVSXHJGATO,1,74
CEUIAPAUKNXWMHDUOJLB,8,68
IUHVMRGWTSCJCWXCJSLA,3,55
TQDCWIWQNYYWNJBMFCXJ,6,99
TEJGHTZDQQGKEFDINFZA,2,16
WNDMARQHBPOXSIKNRHQQ,6,79
OOAACZGALMZOOYLTEZWB,7,82
UYYOGWEWCRSEWWHERPZK,9,77
YBTNVKPHPXZJKMTARJBM,9,37
LJXOQSAVBYYJZLQENVIH,5,83
LOBIXMFPCVMHCTBGJNOT,10,76
NSSKZMUTTDAGHIHDUNSC,2,72
CSGHYICNMRVFURJAWVLI,3,29
NQVBEUAGJPJOFHTPSEWY,9,65
HYXMEWTTCNGVKLOZQSLD,2,22
RSWGWDCGZVRZDGVYXHMJ,10,50
EAQPHXAXBYRCCWOIDMZV,10,68
JZHDYRYDBMPNRWKUQLQI,2,81
SVLVYEJOEAZHKTMCXZOL,8,62
RLXHMPJYQEHVEFBUSEKE,3,48
QSDQWPTSNYKVDVAMYAGA,3,15
WLFMNRQYPNEKASMIEJZJ,4,28
IOMFRRQVWOFEZPEDSAJT,10,51
CJTULSJJKNGTZOMJWLLA,2,48
ZETQCLWJRFJCKIBAOIXL,3,35
NZHLVZJTZVBTLERFAOEW,7,91
GQMXQFOZRXNBEXNZFNZX,8,44
KYNADGCIIIGCWQDHNAWK,4,41
VUFTJZAKRZTKVJTVJURP,4,70
HUSEIDSJIOVIUSNPJSSU,2,80
YAYPZGNOXJTCCAHLUAYJ,7,46
UZPZSJHRNJQLPCGTVABM,8,67
WHRXVMPXCZPWIQXAIUDI,8,13
EVGLHNPPIWLDXOBEZVYT,6,68
LECEDSOIIZCTQUVRDVXT,3,95
YNEUICUOXCQIXDSQNBGC,10,21
YUFVWLULIXCZADVCNEXQ,10,58
OCXMJBBPDIJQLZEALOXM,7,92
DNRSSKTBMPXELEPQVBRI,1,70
AAZTBTQNCJQKVRHDKCEL,10,42
RPYLEGCSSEOUJLSMJGXO,2,44
HGNZWBNAUJAHURWSNKMN,10,55
SLGUSFKDKRTECHPHVGJH,5,19
WZXCJEOHOWMRUXETYKWC,5,97
AZPAOJFXOGDIVYCYHUQI,7,98
VKUIAHHESZWMKDABPECU,1,55
HMDFCIQRUTKEDORRLLSZ,10,28
FRBSETENKJITUBVMOXYG,10,14
MEYKLYVVICQIFSQQVANE,2,96
LDKATESHUURJZLFZXHFW,6,64
ZWRCKPPECHBYALHGFQLN,9,59
IYNPTQROKSVPSGQGEEXX,3,91
UKZCFMMRYWDEQWCPIANC,8,18
JIMQBMXUOLKVIMSEKCHP,1,29
RZACWNFBHRMPRBMVQBCC,2,81
CNDYUYWSRRMHYUKGOLLA,7,37
IPTPUTIWNIIHZABVWYKE,8,76
LFHDGYKKHJAORPXXSDAM,7,19
JGSCYHJWWTDUDVGMWLFU,3,29
LHCZCANJXQCTBSWYQCLW,3,20
XJSRGNDUELGRNIJTMCID,9,52
SSFYMHEPPEPNATAIRTUY,4,66
HHOCTUAWKOPLIWHIOMET,9,79
ZAGHBEBDHDIQUQDHLFUE,8,27
UVFBBZSLTEJMDINLMOQI,1,41
NSHZSLYEQZECCBHJWVTS,3,59
BWTNFPTWMEWQDWPSYZSG,1,27
OTPXQSUOVEMFTKUXNKGF,2,29
OMQEPOCWYYESOIAIMPGD,4,99
ZHQALYAUSOQJHWMDPGBD,7,62
LLMOHUPKGOWIUTZYQBHS,7,23
MBZABHYTULIJALLYQVLL,10,11
KDOMMHLMRLNLPDETUGIQ,9,22
CQTRYRIVZLGLMZDDHAMZ,9,35
FGCPWYHOSWZDTEXGCTJN,4,99
UCYLQDJGEMCLGBJSLYIH,5,49
ZUQSORBCMNMHJXBKLFLV,3,66
MFXMDLBBGAGCJCJHSQIP,2,65
EDARLKNFEYSOQXDAIRLK,6,68
CIQGEEQYAAYUBOYSGLTK,6,21
ZMXFALZAPRDXGVTXRRMT,4,39
GGGTGQZPAEQMQHJXPNBM,3,94
YJBDIHJIPPQZJHGESZZO,4,68
LXXDXKZOQNICERUSFULR,5,91
JJQSYSOFHAHGOMRDUESM,8,33
QJMJIUGIWFHSHWCSBKIS,2,23
FWLSTOIUVBZQNRFOJBID,10,96
NRFTWGOCPSRHYGIHJZFC,3,96
ORNIUMMRUUOOHXDVPIXE,8,81
ULYKRVLANNQUEYPIRTZD,2,96
QULGDWWBTRMCGXYUTEVA,7,67
DOCDTAHVBQIUCLCHOLXQ,9,99
BKDQVWBBCKFNNKXKFHYT,1,31
EDYWVVWVDYBVAUBGHZUC,4,63
WFFKOQBZSPQQPQZWMPSG,9,14
TKZUXQFYJAYUFYLNOCQF,10,38
MEOCHQZKWJSXYZGGZZRF,2,49
KFEXHMPDXGBIYHEZCXCS,9,50
KLQBEYFJCGHJGKHOLDIS,3,16
TMTXIVJNNEJGWUZPYPJP,2,18
OBFLMGBCJLJGGSJRVGRO,2,47
WFCABWISYEWAADYGOPLE,7,99
FNISVXKHJZWOEWAJSPHT,5,29
AJKGUPPAXCYJETKMJCFZ,1,36
HMMIUQXSFDGOBPICDDLL,7,53
LUSZWIEMMOSKNVMXMFEI,4,29
SVFXAACRPZRECWHFMTUL,7,28
KYAXNWXNVJRVAOVHBLCU,7,51
NMBTXIKOMDEIZZNDSFVO,7,56
ZCYEAPDVRPADVWBDDGVL,8,92
AIPAEAEKEQFFYTKLKLIJ,4,27
QUGIRADSNYHFAPIVTXJX,9,39
DFOSXQPCXBEWLBSDGFZD,6,32
VUAPOCKXLUKQJQANTXDF,5,53
BHKJWYPCUTZTHXZUSJXD,1,84
WGIMPREGGXJLRROXZCBK,1,77
ICAXBXLWCHWLIXONWRCR,7,13
MMCCSVBQEFAAXLCUUMKD,7,100
AOAWOMTCIOVMLRPDXEVF,7,88
EFZSAPEBNJCOUGXTWOIC,10,14
RZRUMFTLLXDHISHMPOWU,2,17
IGGCJEOJONYBMEPHTIFO,5,31
HWPMCCLPICZTQDOAZZXM,2,39
NZQXKPDCGETJMFALYWRY,4,84
PYZBCNAQLYPJFTYTQLXG,7,52
XGAJMVWJMUVBZKKCBRJC,8,78
FNGHQLQOTUBHAAUMZTAS,8,62
MSZDZZSHLUYQNAFIYLBC,2,33
YJWZMXVVYBYNMQYWJMTC,1,85
JABQZOLTSDTIDAJSTKUK,9,73
FZVWDYALDNCXTJPAMZUJ,2,30
RLGIKGPAHMIYLJCWYJSP,2,93
WTJHJPLUBJTJLWSDBJXP,1,89
GBOIFVUHETDXISTACZZT,9,100
LBVPJPMMDOQKXDFXXFZB,8,16
JCYTHLTJRACBQKINXEVS,4,82
GNBWJXIDKDAEWLTOWAPM,4,64
MWERBFWXIXKBVDXHVEVM,1,59
AYVNDLUNMONZAESMNDYE,2,62
EEQZTBOMMCQFUYQQCLDF,1,25
YGSQCBIZSJFBTRUJVVFJ,9,23
FEKIJGQYZDZAATZYCZXP,7,41
FOHZGJUSSYCEXCVBHUVN,3,30
QRKQWQFEJWPSQNSTCZYK,3,95
UDEUARQZWLAHKEMIACTZ,5,53
FNBHQWVOLYNLWHVKWOWK,7,84
MCFGSCLOYEDTVWIURDPD,2,46
UOSJCOWBGWXRVLBVOQXM,3,64
JMWFBDWYSQKKTHSIYEXQ,8,34
TRVVKRTIVTRNMYVVUPGH,6,78
IRBZLNLKMSNETXNSRDVL,5,32
QEPZNKVCMAIMGPKHCAEO,9,69
WXCHTGHHEHJXKLNLRSIQ,2,92
VGDNMALOZMWUZUWOPAQE,1,59
OZXTZPQKDYRBIBGJWBHO,5,48
FIMJGQCXIUVDBBVFXVFQ,8,52
BSCRNNCGZYTWUCIQUZEF,8,33
ZLPDXZCPQGGWFYBZZYUB,8,94
WUXLNRXNVXHUIODWRDYO,9,45
QZCIXVFDURZZGRJFILPT,8,98
APGPQDZTENYVVDYKVMAU,6,30
RYDUYODWYOPCQFOSCVIM,4,73
NLZQFYHSKKCJDISIHZJZ,5,31
AHSSDWVLAJVPXAFTHNII,10,73
XOWMZQRLXKHBKTZVYFQU,4,89
FKDWHXICAQUIVGJFLRMS,4,92
NNBFSZTOPWDCDSGOLARQ,10,78
CFMVDQVPDVQOXFKITEEV,9,70
AXGROQETTXAOWBJKWMZI,3,68
GZICDZLLVPCXRSTYSYVQ,5,67
QGMGKCRAUULBEXQZEZEB,9,24
NISSYJDFLZHGSSGPKHZI,3,92
HOSKAHAOXQHCZKTJWJLY,2,46
KFNBOXLYCPDJMYBLRVLC,6,41
ZMOZANTKDIBOBVDQKBFW,4,72
UKVCXXJKSAJIJKUKEYSN,2,93
SWQNRRCJZXCDFSNCDPFF,3,28
WOVMTBKXDOGHUOFNUFAW,5,15
MPZROFPPYZWRKZOSBOCZ,7,14
DWVNGKYFARWVRATQALBW,5,76
SGZOVSFRRZDHVFOYZHVT,4,26
ALAEBEJSATKDQRMWWDMY,3,25
YDGWGELBWBAMHHWTZLOR,6,30
WIEVJCFTBCSGNULAUFRP,3,41
FLNJNLCWOEPMHUHHLPDW,7,40
QBWYPYKSOVTYHEIAPPWT,7,92
DXFMUWPCPMZOJFAEPBIS,3,79
VTEMORILBVKCUCSZVICB,2,44
GWZHEOCMWHDTNIBYNCOC,2,53
YVFINKQXOCAJNOFJOUDR,6,83
FUIGKMKCQVBDNDXNYHWL,2,85
XGJLBJTTBHYYMCBACLFS,7,47
WSIMUCGPAZWTNHKSZYJB,9,41
PTKLHFDLWBLMKYQLCXTC,7,79
TNKROHFJPEFXHGXIODNG,10,62
VTNPBMMOITXJOBDLORIF,6,38
OBODESGDXVILEKEJSSVD,4,73
LYAESIRHXZWKWVOVGUIO,8,56
OXRTBCTTQXZLIJRZTSUG,10,59
LOGWVZNNWXQXZBJUWENM,10,73
SIOEVPXHTLMQHMFHGMUB,9,12
SQFJYYXNQYPRQDJMRKIO,7,69
IYCMCYMYTLNJVOGKIQDB,6,80
FEFNLVTEOMOXBGJMXQGI,8,62
PVRBJVAXLGXTODMOIWHY,8,85
GCFPZIQNOPOGZFCHXBHF,9,62
AAJEDQUNNCXSKUYAZTEP,6,86
PRUGHYASREPWTJYDZJFL,10,89
PMCPWAYDTRVRIAUZYGSA,4,66
EFSFAFEFOVQTIXPOWZOE,9,22
LDFMHOIBKJWYDMLNQAOG,2,37
QUEBYVWKPINXYSWEQDUG,6,50
DGBOSYRFUXBQDOVKIUBG,10,15
NNARPEFPCWWUTBEWZOEE,3,66
UHWTCPQOVRMAWZVDQGTO,1,70
QCKZFVCJVORPTQLGZKHK,1,21
USNSOBRVYEVGTSZHIFEV,8,36
NQYLCXQKEWYCOJEOTFBQ,7,73
JCPDEDROSRQJOLUAVHLU,1,72
CKLUPKUTBXASJKPTKWIT,4,61
YPGACSGKQWLHHJZXFDIA,7,64
LTNTAXXSJRKGSJAOCHZS,5,51
GDIQUMFTHKKPRZUQIGVH,1,95
ORMMOXUTBRDBSUXQGQAG,10,98
VQOMLJILAKLTKXAGTVTA,7,54
GTQBTFHSWQFNNJZXIJEO,3,29
ONNECLGOMCVQSWPMBJPX,9,32
JTOGZCXTMYGYIFSMCGFJ,9,76
BXTXKVTQBIWRTGUDJFZX,9,87
BILJIREWGPHPOJVXFYCU,1,46
TMGMTDFNAMFNPONECFNM,2,11
HSGFTVPASFPEZZFSNZTL,3,27
RWIBZQHBWHMIMLWOETGB,10,16
VHAVFKHFOZALJCJGEOUC,4,53
VJVSKVJLBWVTHJZCBPQM,5,55
DSSEYSFUXCCJJQTGWZCZ,4,82
HWCXTEWEBXBKPGGODSVZ,1,23
KTEQBSUOMJQFAAXOZKYL,4,14
DKUFEEBOEYEDJLJBMAMU,5,95
SZXPBNHWJLVESLQCZOPT,8,35
OMIYVEFTMQKMIAXJUIOD,1,69
ZNHAXFEASDTQCYHXELYU,8,97
WKUCCRWJFWBLOIKXBMSJ,5,83
XWNZLBXZPFIBDXEIFUXF,9,10
PGBPUOMAUFPWJHMUQLEQ,5,45
JDTAGXHNPQWVMBEKUJBO,2,62
YZQUCSNULLQWZEJEHMPN,2,78
BYCCUCSJIQPDLNHONXAR,8,27
DYRENPBZGRNAMPBOVHBJ,4,70
RVGSYGYKAOJRJBCBXLST,3,95
XNQQSZQULJSVBIGLQSLV,9,78
DGJHBHOJKKHPSSOXLWBB,4,54
MPZYHFFZRTLLQBRLTJVQ,7,64
TTIFIXWDMRZUXSWSSAOZ,5,38
RBAUOZTGCROXIIMQPYYX,1,65
JMASVAKJOHTLKNMNIIVN,3,93
SEXIQLRVRTWLDYCADAFV,1,89
MEHOHXZHAKPMWZUXXMOR,3,82
NBXJADFRCGVTLLDTMZAZ,5,10
WHVGMPYOJCIXFCMNNCSG,1,85
HQMTHOAKLYYSVTAJFMPU,1,38
DDZQFVRXFPPTMHNJQAQJ,9,23
PCTXILGKOJYNUXNVFUFQ,7,92
XRCVOITDYJGNMXVBROVS,10,89
JWOCIYRELEJSMPUYOBSX,9,32
QQURERWAFNCSJDOZCDIM,7,10
RKUYTCKUWJUZWPCNKSHU,3,10
YKTSICHVSCUCIIBZABHZ,5,25
YTMQZOCTQPNARHQQZZGR,5,29
HRNYDHZEMCHOQGICFMVC,2,58
PWBOREEVXGSSECUFAIEK,1,64
ISFVWQVNETZMDXLKNXCS,1,77
VQJRRUEIBKMMOMHIRSVB,4,36
BZBNMNJSWKYLDVZGWFWJ,9,96
ZLBROQCZBFPJGEHYSSMP,7,89
JCMOANDYQJOPMSSLCRUO,8,38
DSTQLEDKQWKJGGMYDVQH,7,23
YXSZJXUOZDYQDWDVCAUI,7,12
HVLTJOPPOHUBMSQTZDSU,6,86
VUBMFNUORIQMVRDUZAWK,6,47
TKCRXVIGEDAXBVPSXCIH,7,96
IANQERVWLKZCNMTALXRQ,8,72
BNXVAXAMIBEYGGGOBGAL,3,79
QXHMIVZSSNUMZEEIRDMI,3,17
NISTESAMREDRFKLDJKHV,6,34
GXPELDWGBCWSWAOYHHOQ,4,40
CDMXHMHADDURCTPJJMQP,8,60
PUTWTXHQRFADTRAEIAWC,6,43
VOMEDLZVXSCDUOHGZCGD,10,90
INJXCIRKMHFKYWWTJCEU,3,26
YGQSRCOTTQNVINCEKNYZ,1,53
IXQTGVDGMVBLKOXFZTVY,7,27
SLUPNZZGQBXFDUGICZDG,8,67
XAAHPLRKPYWHPLFXAVNS,8,29
SEPSTYDACOYRRMPEUJZB,8,29
OAUHHXNBGAFDZBZCRLDT,3,37
PYOUHZQAHABJCBSWSMYS,4,84
XWRBOOXYZNALTRCLZIJK,9,46
MCNQEYJNHBGVGPYZFVKX,7,63
WIRHJKYJLRRSIQRAIKQD,4,46
MUZJXVXFSXHYOWMUNTBF,6,90
PENYKZALXCCLZLRCQFOI,8,20
GFZBBBYYMPCMRBWHRSTW,7,19
YFNVOMSYYUAKHYLYZASR,2,58
JUDFGQEQAZWQTDQUIDDR,9,41
PEVKONNSSPRVDPCLUNSK,9,78
GNGKIEGGTGHHMPNDBRSU,7,56
ALUTBHUYUMYFCCJVGKNW,9,24
APJMIUNRVPLTYHYSLHLK,2,67
ZVYAURTBURWWEEZVLFOQ,4,32
QSKORPYAOMDFJQYGXUJY,10,27
CUAIPZNUDQBOOMEHBSDI,5,38
EDKDGCWAAMHBMHGFDBUO,2,25
OPGKKTXOCNGPGCBONIWO,1,37
VYOUAYFSYWMIEBWDIIYU,8,16
LHWJWYZATHOULSUGPSGM,10,42
IROWTXFHWGTEGGMYXDVH,9,43
UZVQWIDPGUDLQBQCQLBR,10,23
BJZGUSRZOYXQFATECFKN,10,19
XQSYGGMKBPVPSZMYWAOF,9,73
JEZPWYTJWUGAPNAWWICA,3,22
OSCSVAJKBWNMITLIFAKK,7,55
FYZWYKMDKQDKOCSHTXLX,3,59
JYPWHORQBQRXHGXQXPTL,6,91
CLBRDEVOZWDLLUEDNKOE,2,21
QCFTCMDHPZERJKDEPBMU,7,88
ELWQLVTQHVXOIHCDTSIP,9,14
ROXMJZZWPDIHFQMKGGKY,7,90
LEEISVLJCSEWMCEIXGSD,7,68
FVYXMQBQWYDWKCMWZEAS,4,31
QYXLDQYCYQGMITEJWVJO,1,95
LJDEUXZEOPUYRVYVHZHJ,7,64
FTMJLVRDRLIINQXOYRBQ,9,23
AVONNNUXPBJPGHRTRSVS,4,73
ZQYDDCYCDYLMYIKSEOTM,9,50
TSSWXLVTCTACHWPASODN,10,30
NEVMKOZKKOCWAJOIBAZI,6,88
VJKIRETDWWOQFBNJRFXR,5,89
BGKKTKIIYDBDPXXSKJGU,6,12
XLTUNKANSQBZLWOFBMGR,1,10
FYNNQRTLDMHKEPFJWJLK,1,58
TALRHKSZRSSWBMKDANRE,1,58
OCNUIGCLCQOAZVKLMTEH,10,45
NJBHTOFHNHZEBNAZLFBF,4,81
ROHYVHCYMSSLCHGUBACE,8,30
WBYDCLXJPBIRKBPHRRXM,4,88
EEQULPXNIAYLUESOHYHX,7,22
GVUXNMUBXRLXDIJYXFDK,1,93
SWDHBLBBUKLFSZPDNJDK,7,98
IEYDVHCMFWQIZZRIXAVJ,2,15
RZEOEYPAHQSCTCQPKBTE,2,53
PEDZEEQVAXTBGICNMLAS,8,75
SHCMPOJROHEMPZMRENDO,3,48
SCYEUGQQCSYLMIWMHUSS,6,84
FNOASQQDWQSHWFMOKFZL,9,99
ETKMQOBWDLAOJOEZKMWJ,6,24
TSIRGJVKMMNUIVFDNCLH,10,89
XVHLJSNDEQDXGWCCUHYD,9,99
RUHPOJOENFQWQTOYRAOO,6,31
XOGWRHZTTCMTDGNNQNVI,9,33
KGFVCFDWWGZNBTZOPIVS,5,20
ACDGODVRATMTRYYDMRAE,6,26
UHDIGGVSRITTBPLBXAFJ,8,57
UAGZXJCIRSMBSBLAVTJC,1,14
IXJBHLOIJXHCYFAXWUSF,8,21
XYPSRIBZTURUSTMIHAAH,10,21
NHOXSRAXGFSPFIZXQBGQ,6,56
TQWZMHMJNORZPEMPILDP,4,80
PAEYTTGOFAOROZYSDLOJ,10,83
VXDOPGFLZVDMQXMGRJKN,2,84
RTPLPNWCISVEUEIJLJXO,6,13
UWRWOYFHOWZVFKIKHAFD,8,22
QFRDLVAIHGPTKKYQORDI,9,71
KHDSZFVURUCAIRYXOGCA,8,84
VXCYHAJLTPFEXUTEBMBP,8,54
EOFSUYXMEPCAYTOVADWN,8,18
GHBEHWVBFOTXGNUNXMDB,2,85
KETIPDGFKEVYELZQXPTG,8,71
VQEPYNAPWHYWRCAOPELW,1,62
ADBYYWQXFEGZZXMNGFOQ,10,52
AZYZZMAEGYXMDRJZXDPD,7,71
GAOASZZMXMLOSHVTPRBU,1,70
UZZGNQUDXQCXNUVFFOJB,8,88
BBHBYYBYLFKUSDOFRXLY,9,79
WFUHBORIATGKGTANAVEX,3,28
HLTVQCLSSXNDVUXXVXAJ,9,70
HJFYVNDUZKAWNYRJKUXY,2,30
GLEPAHDSIWMMVWCUIYUH,6,42
VPLROTCGQVZJACENYNXN,4,96
GAZMPCBKWKTYOAFNDQUI,2,41
QAUHUUEUGGWKOZXSFEAO,5,20
VQHQRJYJFWBRBWRSOEVW,7,43
DMWLNXDJRGWHWEDZCEDM,8,67
ZJSMRAMHBCRELFAOTRFV,9,99
CDYJWRXJZZQNSCKKLGEJ,6,58
MWLUDRJANTVVPIVCLXIY,5,48
PQYXKWOMHLLPAKSDJBAI,2,70
JMLZOKWIWUJYKUMGXZKM,10,64
KKIBRHTOJWQUOYDZELPD,8,39
MCLQXZWBLXPCOEAWJUIC,9,75
PMQRMWCTQDUEJDRKGFFT,6,97
UNQRXFEDUPGPWFTILFVQ,10,64
PUMMRRCRFWHIIRJORBPZ,3,80
QOFGFSVCQVBGOIIMXGQR,3,17
UQPLTGFSDAVYBQWMMRPI,2,98
VQEETZFOGZIFKGQEEVOF,4,30
ZLTIWAKMJITFVDYRLMDX,5,84
LTMOPMYPFLREQQFRCPIV,9,23
LYABLAEMXXDYWLKDJGAT,3,30
NDTTHVAZDRKGQAZGDOUO,10,92
ROYYNHTKIYHGFRWXACBM,4,72
ODLJYBYSMPILEGYWKMHG,2,16
YQAETKJABRYGSJNZCYHL,9,74
TEOFBULGFJLLXCJIREDQ,6,12
ODVOQZVWQDHJIOFECOAT,5,64
YBZVAVTSBDMGFYCNEXJM,1,88
WEPOYHHDCFFFXPJMHPIO,7,87
RMWYNHEIFYTFXGTGCZDM,6,89
RHTLKJEHDJTTPFGKNFYA,6,55
YSYLTABOSPATCAHDLQKV,6,36
EDMOUGFTDQEICSWLWSTJ,10,52
SGJDXKWFBBUKZYSZYIDU,2,89
IGVAYTRAMKYHNHPEXBAP,5,75
XFOYWDEUAVTQMNWYZZQK,7,15
LWGPDNQHYNFITWVHSEQI,5,34
EFQXAMXTHHUZVBXOEFDW,7,67
SXNHNBRVYCNZBGYKIAPO,8,99
RTVCUNUCLIPEZFCQMNVD,8,43
UYPEJFXVHIIDTOEBSVKB,6,42
RLVJAJDOESUDCSCEFVPD,9,23
UGGXOMGDFZKAAFPHFWQK,8,30
USOITIBDVJGDCSNTJOXJ,5,92
DCWLTLXPNSNCCBYNDIJT,1,18
JRAHQLITGKTMWDBFTVTK,4,33
DUSOLXVVNJDCAXKUPSPT,7,44
OJMVKMKPRURRSTTJKQAJ,9,90
DUOOQHNCHWGRGTXZXDDG,10,85
MWUUQXIKXBIINDULPEOR,6,38
XXNPYDCGUAWFEWHZKMGC,5,63
RNXEDYNOSWZSGHBVJKXJ,7,81
GKHYSQOCDQDXGNZHUGPQ,1,30
BTLXZALMZQNGBDJYQIWA,10,48
KGVBZLLBVWBLBCXAUTCU,1,19
SJDWNOSTRFBXWHYZFVFX,1,91
CMLAMSHFDQKVILKMPJZT,8,70
JSDFRAOQBQKFXUKDHTOB,1,22
DPZMCCNZTHPRLKLRINQC,5,38
RWWOGKETCHQDXJFLZUEE,7,17
AASFNOCBIGQQHUJQGWBF,3,55
XFXKYNFMPFEKVGBMIICF,4,93
CHLLXPQYZTOLMQBPBNEG,9,29
OPPLQENDAPDKLXNOVWWT,2,21
DEHCIBWSTGPEJPRVRGHY,3,10
RXMDOOMKVVJGJDOPWRBY,2,25
MJYPFHFZOCUGNBENQBYO,7,40
CEYBKPOKLOAZLRUHMILT,4,78
ZAWCQVYBZQJCVUORZRAB,3,74
NNGBUFVMAIJSNFMTXFEN,1,11
KPIZVHGNHQVZXAHNZJOJ,4,91
RAHYMPZMXMVTPRZRLUAY,6,34
XGXIKVDILOKFWTBZVFWW,9,56
VWSFNGENMIRKWIUKWCTK,5,95
BHNGHMFLVPEWHIUTYXCC,5,46
EORTFETPIRPJJXOEQYXR,1,39
IQHNWUYMJQEDZFVKIXLR,2,32
HHFBJMMFCAALUXIIIWXB,5,89
SWCFTPYTWGFWBHSHUINW,10,25
XQQBFTYKJAROPBUIDOCY,5,10
TAEAHTZSOXTJLSUDRQEQ,9,48
GRXDEKAFYFTEMSXOUVVA,9,34
QDGGDLGMXSRCNRFTKHPD,5,100
SDAEXDENNHTDKMXMJKBG,8,16
QPMTHDRKDYJWVPWBXKES,5,51
IFMZTOOQOQFDNUKFMARC,2,27
ODTJRNJHYZGOEZVZZUCL,1,18
BKGJNLUXGPWLDGPIIAPD,7,40
KUCBLBJRBHBRDPTISIZL,2,62
VOQAHAWVOKAGBFFKJFIX,10,12
IAWUHSNEJDFRBXCBAHQE,3,78
LBPYGMPNAURNHSJIRGAB,7,90
NMCOWPCKZFEBVZPTSMHD,8,12
OJOGBIZZOOVGKOVMCDJT,6,90
VXFLCMHMRHTYHGCNFOVQ,4,98
AVCJODTIUWIVNTRUZWOB,10,55
ARCUTOPKFCMPIJWBNYXI,6,27
OLMXUDXDOEHJNUKHQEWK,2,36
HFKHUKSEACYYWURMIFPW,8,45
RCGHJTVZGZGFUTGZYMPC,2,67
RLOROLMNZALXEAZSJBMU,3,61
BRCVYIQGBLRIQPVJSBGO,2,46
NWPFIHAOPLGRKMWHGKYU,9,84
TWTWEKZRAQGVQAYSLUQQ,2,61
SRUPNIAFWFWEODKTMDEH,2,48
ENEMNFBQZIOOSWTQOVCX,6,33
UTULOGHQQWWIFDWIOFCJ,1,12
ZWORNMDETHARBFQMCBMM,5,99
SRRLBDJTBKCFTFOUZFUP,7,96
WKXQRNXMWAQSEASTGBVP,8,22
PBCJSVKXWPWKZEDWHECQ,2,38
YMCUVWULKRXNGMZNYSYY,8,43
NMSNQCHLOBIZJLALTXGH,1,59
ECHAEXNFMKKVQIRAHBFL,3,13
XPGKYIGUEQDGHBRGUGRF,3,25
XDGZAJOEGEICLHKHOUHZ,8,36
BGHSQDAEPLCSPXSAXYZZ,10,76
USIUWQPYLNSBWRIFTDBK,10,71
RUZDPLLODXVPOVEWFPDV,8,16
VNCNYAPEELKGBLCUQUMS,5,17
XLQGXUMBGITHLMMQIMXN,1,43
EPAPETCSYGRWTNMNHWKL,6,99
HOYUXQBSSGWAPRJDJMHI,5,80
IXDGCTNZROVAJCHJXWUG,8,99
MEIVPUYMCYSCFVYOXJLH,5,27
EYVPFMNZQRPMWXBNVDKK,3,100
FZKFPWFHGFHCNATDVEJK,1,46
MHKBMBKJEIHACJWMNQIT,4,52
UQHTAMAUDIJLAONACISH,4,74
FIEPQXZDJCJNWRFZUDXC,4,21
YTSCLYMATGUDSSQBHERL,2,70
AJJAIWHCMYPLEGVXYXGH,3,38
VDFJAJGMFWIXXLVORNHO,8,24
AMYFBOFVIASCWEIEDHEE,5,75
LTMIRVXBZOTSZTDYCYOS,2,16
FGCBJBSSDYTGKXGKAHSH,2,16
MSUUUNHQUMZSZPYSFFGN,7,25
